[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]
[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 15.2s | Train: skip eval | Valid: time=  1.2s loss=1.608, TAw acc= 61.9% | *
| Epoch   2, time= 15.2s | Train: skip eval | Valid: time=  1.1s loss=0.650, TAw acc= 64.2% | *
| Epoch   3, time= 15.3s | Train: skip eval | Valid: time=  1.2s loss=0.711, TAw acc= 65.7% |
| Epoch   4, time= 15.2s | Train: skip eval | Valid: time=  1.2s loss=0.708, TAw acc= 53.7% |
| Epoch   5, time= 15.2s | Train: skip eval | Valid: time=  1.2s loss=0.412, TAw acc= 85.1% | *
| Epoch   6, time= 15.3s | Train: skip eval | Valid: time=  1.2s loss=0.275, TAw acc= 87.3% | *
| Epoch   7, time= 15.4s | Train: skip eval | Valid: time=  1.2s loss=0.317, TAw acc= 87.3% |
| Epoch   8, time= 15.2s | Train: skip eval | Valid: time=  1.1s loss=0.297, TAw acc= 88.1% |
| Epoch   9, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.137, TAw acc= 94.8% | *
| Epoch  10, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.187, TAw acc= 94.0% |
| Epoch  11, time= 15.4s | Train: skip eval | Valid: time=  1.2s loss=0.154, TAw acc= 94.0% |
| Epoch  12, time= 15.2s | Train: skip eval | Valid: time=  1.2s loss=0.111, TAw acc= 95.5% | *
| Epoch  13, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.114, TAw acc= 97.0% |
| Epoch  14, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.191, TAw acc= 96.3% |
| Epoch  15, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.092, TAw acc= 96.3% | *
| Epoch  16, time= 15.3s | Train: skip eval | Valid: time=  1.2s loss=0.238, TAw acc= 92.5% |
| Epoch  17, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.113, TAw acc= 95.5% |
| Epoch  18, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.175, TAw acc= 90.3% |
| Epoch  19, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.081, TAw acc= 97.0% | *
| Epoch  20, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.111, TAw acc= 96.3% |
| Epoch  21, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.084, TAw acc= 98.5% |
| Epoch  22, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.119, TAw acc= 93.3% |
| Epoch  23, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.079, TAw acc= 97.0% | *
| Epoch  24, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.073, TAw acc= 97.0% | *
| Epoch  25, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.285, TAw acc= 91.0% |
| Epoch  26, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.139, TAw acc= 97.0% |
| Epoch  27, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.091, TAw acc= 95.5% |
| Epoch  28, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.071, TAw acc= 97.8% | *
| Epoch  29, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.052, TAw acc= 98.5% | *
| Epoch  30, time= 15.4s | Train: skip eval | Valid: time=  1.2s loss=0.070, TAw acc= 97.0% |
| Epoch  31, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.078, TAw acc= 97.0% |
| Epoch  32, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.084, TAw acc= 95.5% |
| Epoch  33, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.066, TAw acc= 97.8% |
| Epoch  34, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.126, TAw acc= 94.8% |
| Epoch  35, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.196, TAw acc= 94.8% |
| Epoch  36, time= 15.4s | Train: skip eval | Valid: time=  1.2s loss=0.092, TAw acc= 94.8% |
| Epoch  37, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.121, TAw acc= 97.0% |
| Epoch  38, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.080, TAw acc= 97.0% |
| Epoch  39, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.105, TAw acc= 96.3% |
| Epoch  40, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.084, TAw acc= 96.3% |
| Epoch  41, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.068, TAw acc= 97.0% |
| Epoch  42, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.114, TAw acc= 94.8% |
| Epoch  43, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.088, TAw acc= 97.0% |
| Epoch  44, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.155, TAw acc= 92.5% |
| Epoch  45, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.083, TAw acc= 97.0% |
| Epoch  46, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.086, TAw acc= 97.8% |
| Epoch  47, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.153, TAw acc= 94.8% |
| Epoch  48, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.110, TAw acc= 95.5% |
| Epoch  49, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.098, TAw acc= 97.8% |
| Epoch  50, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.068, TAw acc= 97.8% |
| Epoch  51, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.166, TAw acc= 95.5% |
| Epoch  52, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.157, TAw acc= 95.5% |
| Epoch  53, time= 15.6s | Train: skip eval | Valid: time=  1.3s loss=0.089, TAw acc= 97.0% |
| Epoch  54, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.148, TAw acc= 94.0% |
| Epoch  55, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.184, TAw acc= 95.5% |
| Epoch  56, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.077, TAw acc= 97.8% |
| Epoch  57, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.156, TAw acc= 95.5% |
| Epoch  58, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.095, TAw acc= 96.3% |
| Epoch  59, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.064, TAw acc= 97.0% |
| Epoch  60, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.049, TAw acc= 98.5% | *
| Epoch  61, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.114, TAw acc= 96.3% |
| Epoch  62, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.076, TAw acc= 97.8% |
| Epoch  63, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.0% |
| Epoch  64, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.107, TAw acc= 97.8% |
| Epoch  65, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.092, TAw acc= 97.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time=  9.9s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.226 | TAw acc= 95.6%, forg=  0.0%| TAg acc= 95.6%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 8 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.395, TAw acc= 67.7% | *
| Epoch   2, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.322, TAw acc= 82.7% | *
| Epoch   3, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.305, TAw acc= 90.2% | *
| Epoch   4, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.483, TAw acc= 68.4% |
| Epoch   5, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.242, TAw acc= 91.7% | *
| Epoch   6, time= 25.2s | Train: skip eval | Valid: time=  2.2s loss=0.205, TAw acc= 94.7% | *
| Epoch   7, time= 25.6s | Train: skip eval | Valid: time=  2.2s loss=0.240, TAw acc= 92.5% |
| Epoch   8, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.283, TAw acc= 88.0% |
| Epoch   9, time= 25.2s | Train: skip eval | Valid: time=  2.3s loss=0.205, TAw acc= 91.7% |
| Epoch  10, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.193, TAw acc= 93.2% | *
| Epoch  11, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.177, TAw acc= 94.7% | *
| Epoch  12, time= 25.1s | Train: skip eval | Valid: time=  2.3s loss=0.246, TAw acc= 91.0% |
| Epoch  13, time= 25.5s | Train: skip eval | Valid: time=  2.2s loss=0.180, TAw acc= 94.0% |
| Epoch  14, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.152, TAw acc= 97.0% | *
| Epoch  15, time= 25.5s | Train: skip eval | Valid: time=  2.3s loss=0.232, TAw acc= 91.7% |
| Epoch  16, time= 25.6s | Train: skip eval | Valid: time=  2.3s loss=0.166, TAw acc= 94.7% |
| Epoch  17, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.183, TAw acc= 97.0% |
