[(0, 2, True), (1, 1, True), (2, 3, True), (3, 1, False), (4, 2, True), (5, 3, True), (6, 2, True), (7, 3, True), (8, 1, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.684, TAw acc= 49.6% | *
| Epoch   2, time= 16.0s | Train: skip eval | Valid: time=  1.2s loss=0.634, TAw acc= 55.6% | *
| Epoch   3, time= 16.1s | Train: skip eval | Valid: time=  1.2s loss=0.300, TAw acc= 91.7% | *
| Epoch   4, time= 16.1s | Train: skip eval | Valid: time=  1.2s loss=0.672, TAw acc= 80.5% |
| Epoch   5, time= 16.3s | Train: skip eval | Valid: time=  1.2s loss=0.309, TAw acc= 85.7% |
| Epoch   6, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.195, TAw acc= 94.0% | *
| Epoch   7, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.126, TAw acc= 94.7% | *
| Epoch   8, time= 16.2s | Train: skip eval | Valid: time=  1.2s loss=0.117, TAw acc= 95.5% | *
| Epoch   9, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.149, TAw acc= 94.7% |
| Epoch  10, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.127, TAw acc= 94.0% |
| Epoch  11, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.144, TAw acc= 95.5% |
| Epoch  12, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.102, TAw acc= 96.2% | *
| Epoch  13, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.086, TAw acc= 97.0% | *
| Epoch  14, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.131, TAw acc= 95.5% |
| Epoch  15, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.088, TAw acc= 97.0% |
| Epoch  16, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.070, TAw acc= 97.0% | *
| Epoch  17, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.131, TAw acc= 94.7% |
| Epoch  18, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.083, TAw acc= 97.0% |
| Epoch  19, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.078, TAw acc= 97.7% |
| Epoch  20, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.071, TAw acc= 97.0% |
| Epoch  21, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.078, TAw acc= 97.0% |
| Epoch  22, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.064, TAw acc= 97.0% | *
| Epoch  23, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.079, TAw acc= 97.7% |
| Epoch  24, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.129, TAw acc= 94.7% |
| Epoch  25, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.084, TAw acc= 97.0% |
| Epoch  26, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.065, TAw acc= 96.2% |
| Epoch  27, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.099, TAw acc= 95.5% |
| Epoch  28, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.059, TAw acc= 98.5% | *
| Epoch  29, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.056, TAw acc= 97.7% | *
| Epoch  30, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.069, TAw acc= 99.2% |
| Epoch  31, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.067, TAw acc= 97.0% |
| Epoch  32, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.097, TAw acc= 97.0% |
| Epoch  33, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.051, TAw acc= 98.5% | *
| Epoch  34, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.7% |
| Epoch  35, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.078, TAw acc= 98.5% |
| Epoch  36, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.058, TAw acc= 98.5% |
| Epoch  37, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.088, TAw acc= 97.0% |
| Epoch  38, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.058, TAw acc= 99.2% |
| Epoch  39, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.090, TAw acc= 96.2% |
| Epoch  40, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.072, TAw acc= 98.5% |
| Epoch  41, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.064, TAw acc= 97.0% |
| Epoch  42, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.088, TAw acc= 97.0% |
| Epoch  43, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.072, TAw acc= 98.5% |
| Epoch  44, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.7% |
| Epoch  45, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.073, TAw acc= 97.7% |
| Epoch  46, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.064, TAw acc= 98.5% |
| Epoch  47, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.066, TAw acc= 97.0% |
| Epoch  48, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.065, TAw acc= 98.5% |
| Epoch  49, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.069, TAw acc= 98.5% |
| Epoch  50, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.097, TAw acc= 97.0% |
| Epoch  51, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.096, TAw acc= 97.0% |
| Epoch  52, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.086, TAw acc= 97.7% |
| Epoch  53, time= 17.4s | Train: skip eval | Valid: time=  1.2s loss=0.087, TAw acc= 98.5% |
| Epoch  54, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.089, TAw acc= 98.5% |
| Epoch  55, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.067, TAw acc= 99.2% |
| Epoch  56, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.083, TAw acc= 98.5% |
| Epoch  57, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.081, TAw acc= 98.5% |
| Epoch  58, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.117, TAw acc= 96.2% |
| Epoch  59, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.069, TAw acc= 98.5% |
| Epoch  60, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.080, TAw acc= 99.2% |
| Epoch  61, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.075, TAw acc= 98.5% |
| Epoch  62, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.059, TAw acc= 98.5% |
| Epoch  63, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.070, TAw acc= 99.2% |
| Epoch  64, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 98.5% |
| Epoch  65, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.077, TAw acc= 97.7% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time=  9.7s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.070 | TAw acc= 97.4%, forg=  0.0%| TAg acc= 97.4%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 6 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 13.9s | Train: skip eval | Valid: time=  1.3s loss=0.309, TAw acc=100.0% | *
| Epoch   2, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.305, TAw acc=100.0% | *
| Epoch   3, time= 14.3s | Train: skip eval | Valid: time=  1.2s loss=0.359, TAw acc=100.0% |
| Epoch   4, time= 14.1s | Train: skip eval | Valid: time=  1.3s loss=0.338, TAw acc=100.0% |
| Epoch   5, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.319, TAw acc=100.0% |
| Epoch   6, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.303, TAw acc=100.0% | *
| Epoch   7, time= 13.8s | Train: skip eval | Valid: time=  1.3s loss=0.299, TAw acc=100.0% | *
| Epoch   8, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.287, TAw acc=100.0% | *
| Epoch   9, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.290, TAw acc=100.0% |
| Epoch  10, time= 13.9s | Train: skip eval | Valid: time=  1.2s loss=0.293, TAw acc=100.0% |
| Epoch  11, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.287, TAw acc=100.0% | *
| Epoch  12, time= 13.7s | Train: skip eval | Valid: time=  1.3s loss=0.282, TAw acc=100.0% | *
| Epoch  13, time= 14.0s | Train: skip eval | Valid: time=  1.2s loss=0.278, TAw acc=100.0% | *
| Epoch  14, time= 14.3s | Train: skip eval | Valid: time=  1.2s loss=0.282, TAw acc=100.0% |
| Epoch  15, time= 13.9s | Train: skip eval | Valid: time=  1.2s loss=0.277, TAw acc=100.0% | *
| Epoch  16, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.287, TAw acc=100.0% |
| Epoch  17, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.275, TAw acc=100.0% | *
| Epoch  18, time= 13.7s | Train: skip eval | Valid: time=  1.2s loss=0.274, TAw acc=100.0% | *
| Epoch  19, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.274, TAw acc=100.0% | *
| Epoch  20, time= 13.8s | Train: skip eval | Valid: time=  1.2s loss=0.281, TAw acc=100.0% |
| Epoch  21, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.273, TAw acc=100.0% | *
| Epoch  22, time= 13.8s | Train: skip eval | Valid: time=  1.3s loss=0.273, TAw acc=100.0% | *
| Epoch  23, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.277, TAw acc=100.0% |
| Epoch  24, time= 14.1s | Train: skip eval | Valid: time=  1.3s loss=0.272, TAw acc=100.0% | *
| Epoch  25, time= 13.9s | Train: skip eval | Valid: time=  1.3s loss=0.271, TAw acc=100.0% | *
| Epoch  26, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.276, TAw acc=100.0% |
| Epoch  27, time= 13.8s | Train: skip eval | Valid: time=  1.3s loss=0.273, TAw acc=100.0% |
| Epoch  28, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.268, TAw acc=100.0% | *
| Epoch  29, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.273, TAw acc=100.0% |
| Epoch  30, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.269, TAw acc=100.0% |
| Epoch  31, time= 13.9s | Train: skip eval | Valid: time=  1.3s loss=0.268, TAw acc=100.0% | *
| Epoch  32, time= 14.1s | Train: skip eval | Valid: time=  1.3s loss=0.279, TAw acc=100.0% |
| Epoch  33, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.272, TAw acc=100.0% |
| Epoch  34, time= 14.1s | Train: skip eval | Valid: time=  1.3s loss=0.275, TAw acc=100.0% |
| Epoch  35, time= 13.9s | Train: skip eval | Valid: time=  1.2s loss=0.270, TAw acc=100.0% |
| Epoch  36, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.268, TAw acc=100.0% |
| Epoch  37, time= 14.3s | Train: skip eval | Valid: time=  1.2s loss=0.278, TAw acc=100.0% |
| Epoch  38, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.266, TAw acc=100.0% | *
| Epoch  39, time= 13.9s | Train: skip eval | Valid: time=  1.3s loss=0.268, TAw acc=100.0% |
| Epoch  40, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.276, TAw acc=100.0% |
| Epoch  41, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.276, TAw acc=100.0% |
| Epoch  42, time= 14.0s | Train: skip eval | Valid: time=  1.2s loss=0.277, TAw acc=100.0% |
| Epoch  43, time= 14.2s | Train: skip eval | Valid: time=  1.2s loss=0.265, TAw acc=100.0% | *
| Epoch  44, time= 14.3s | Train: skip eval | Valid: time=  1.2s loss=0.277, TAw acc=100.0% |
| Epoch  45, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.264, TAw acc=100.0% | *
| Epoch  46, time= 13.7s | Train: skip eval | Valid: time=  1.2s loss=0.288, TAw acc=100.0% |
| Epoch  47, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.258, TAw acc=100.0% | *
