[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 15.4s | Train: skip eval | Valid: time=  1.3s loss=0.821, TAw acc= 52.2% | *
| Epoch   2, time= 15.8s | Train: skip eval | Valid: time=  1.3s loss=0.701, TAw acc= 50.0% | *
| Epoch   3, time= 15.8s | Train: skip eval | Valid: time=  1.3s loss=0.686, TAw acc= 57.5% | *
| Epoch   4, time= 15.9s | Train: skip eval | Valid: time=  1.3s loss=0.391, TAw acc= 83.6% | *
| Epoch   5, time= 16.0s | Train: skip eval | Valid: time=  1.3s loss=0.501, TAw acc= 79.9% |
| Epoch   6, time= 16.0s | Train: skip eval | Valid: time=  1.3s loss=0.262, TAw acc= 90.3% | *
| Epoch   7, time= 15.8s | Train: skip eval | Valid: time=  1.3s loss=0.383, TAw acc= 87.3% |
| Epoch   8, time= 16.1s | Train: skip eval | Valid: time=  1.3s loss=0.260, TAw acc= 90.3% | *
| Epoch   9, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.287, TAw acc= 88.8% |
| Epoch  10, time= 15.9s | Train: skip eval | Valid: time=  1.3s loss=0.160, TAw acc= 94.0% | *
| Epoch  11, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.172, TAw acc= 93.3% |
| Epoch  12, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.153, TAw acc= 94.8% | *
| Epoch  13, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.158, TAw acc= 93.3% |
| Epoch  14, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.142, TAw acc= 93.3% | *
| Epoch  15, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.110, TAw acc= 96.3% | *
| Epoch  16, time= 16.3s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 95.5% | *
| Epoch  17, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.117, TAw acc= 95.5% |
| Epoch  18, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.109, TAw acc= 97.8% |
| Epoch  19, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.133, TAw acc= 94.8% |
| Epoch  20, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.111, TAw acc= 96.3% |
| Epoch  21, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.120, TAw acc= 95.5% |
| Epoch  22, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 94.8% |
