[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 16.3s | Train: skip eval | Valid: time=  1.2s loss=1.781, TAw acc= 50.0% | *
| Epoch   2, time= 15.8s | Train: skip eval | Valid: time=  1.3s loss=0.713, TAw acc= 53.7% | *
| Epoch   3, time= 16.0s | Train: skip eval | Valid: time=  1.2s loss=0.790, TAw acc= 61.2% |
| Epoch   4, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.454, TAw acc= 82.8% | *
| Epoch   5, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.290, TAw acc= 88.8% | *
| Epoch   6, time= 16.0s | Train: skip eval | Valid: time=  1.3s loss=0.221, TAw acc= 91.0% | *
| Epoch   7, time= 16.1s | Train: skip eval | Valid: time=  1.3s loss=0.275, TAw acc= 89.6% |
| Epoch   8, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.269, TAw acc= 87.3% |
| Epoch   9, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.174, TAw acc= 92.5% | *
| Epoch  10, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.168, TAw acc= 92.5% | *
| Epoch  11, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.141, TAw acc= 94.0% | *
| Epoch  12, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.149, TAw acc= 93.3% |
| Epoch  13, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.137, TAw acc= 94.0% | *
| Epoch  14, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.188, TAw acc= 92.5% |
| Epoch  15, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.193, TAw acc= 92.5% |
| Epoch  16, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.229, TAw acc= 94.0% |
| Epoch  17, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.148, TAw acc= 93.3% |
| Epoch  18, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.246, TAw acc= 93.3% |
| Epoch  19, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.135, TAw acc= 94.8% | *
| Epoch  20, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 95.5% | *
| Epoch  21, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.139, TAw acc= 94.8% |
| Epoch  22, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.123, TAw acc= 94.0% |
| Epoch  23, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.275, TAw acc= 88.1% |
| Epoch  24, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.191, TAw acc= 94.0% |
| Epoch  25, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.204, TAw acc= 91.8% |
| Epoch  26, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.112, TAw acc= 94.0% |
| Epoch  27, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.125, TAw acc= 95.5% |
| Epoch  28, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.136, TAw acc= 96.3% |
| Epoch  29, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.187, TAw acc= 94.0% |
| Epoch  30, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 97.0% | *
| Epoch  31, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 94.0% |
| Epoch  32, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 96.3% |
| Epoch  33, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.120, TAw acc= 94.0% |
| Epoch  34, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.089, TAw acc= 96.3% |
